Ac: 10/1, data[12]: 0/1, com:  10

Ac: -10/1, data[12]: 0/1, com: - 10

Ac: 1/1, data[12]: 0/1, com: M 1

Ac: 2/1, data[12]: 0/1, com: M -2

Ac: -3/1, data[12]: 0/1, com: -M 3

Ac: -7/1, data[12]: 0/1, com: -M -7

Ac: -7/1, data[13]: 0/1, com: C'

Ac: -7/1, data[14]: 0/1, com: C'

Ac: -7/1, data[13]: 0/1, com: C

Ac: -7/1, data[14]: 0/1, com: C'

Ac: -7/1, data[14]: 0/1, com: Cc 10

Ac: -7/1, data[12]: 0/1, com: Cc' 12

Ac: 555/1, data[12]: 0/1, com: M 555

Ac: 555/2, data[12]: 0/1, com: R

Ac: 557/2, data[12]: 0/1, com: h 1

Ac: 40/1, data[12]: 0/1, com:  40

Ac: 20/1, data[12]: 0/1, com: R

